"Id","sales"
1,3987.0354
2,5715.019
3,7305.4575
4,4447.273
5,5211.9253
6,4575.478
7,6774.5894
8,6241.7207
9,3076.6968
10,4535.64
11,5489.3413
12,6265.7188
13,5248.61
14,4642.366
15,4442.2393
16,2798.193
17,4540.7812
18,7625.175
19,8817.463
20,7772.265
21,5874.912
22,4559.998
23,4897.7544
24,2479.6333
25,7010.533
26,7721.781
27,7876.505
28,4933.86
29,3797.3342
30,4128.4766
31,3349.3384
32,8283.189
33,5728.3994
34,4417.458
35,3334.7935
36,5882.648
37,3341.849
38,5932.5986
39,3479.2908
40,4447.4717
41,4751.5283
42,4357.454
43,5867.867
44,3773.201
45,3784.0847
46,5311.1475
47,5708.7686
48,8410.273
49,5011.4795
50,6348.8384
51,6223.2896
52,7895.5825
53,5467.4463
54,7451.4683
55,2762.801
56,3791.5989
57,5178.0786
58,5003.818
59,6497.9717
60,6190.816
61,4468.771
62,6142.3916
63,5266.97
64,7377.628
65,3189.3936
66,10614.863
67,3849.5662
68,3841.6785
69,6850.427
70,4736.8843
71,4847.19
72,4913.748
73,5836.091
74,4124.947
75,3070.817
76,4743.664
77,6146.5596
78,5708.154
79,3386.5994
80,5999.4756
81,7912.273
82,5338.6963
83,3811.8481
84,5598.0435
85,5161.264
86,5459.4043
87,4735.516
88,3228.6238
89,6309.8413
90,4974.4585
91,5856.032
92,5956.6934
93,3576.8962
94,5575.7104
95,3256.606
96,5958.7627
97,7285.455
98,4196.166
99,4389.4
100,3733.06
101,4894.201
102,3482.3132
103,5452.36
104,3997.7842
105,6160.4775
106,4507.3184
107,3820.5393
108,5175.4116
109,5886.8823
110,5734.0693
111,6311.037
112,6738.064
113,3502.4631
114,6867.196
115,4548.6543
116,5933.8066
117,7140.7583
118,4435.1714
119,7985.3027
120,6679.4565
121,4850.0513
122,4753.156
123,5942.102
124,6425.65
125,3762.546
126,2635.9468
127,4835.0767
128,6131.6274
129,6127.0396
130,4222.4463
131,6941.6187
132,5175.2393
133,3782.5303
134,4697.7583
135,4341.046
136,5970.515
137,5965.8345
138,3942.6636
139,4308.6978
140,2885.5103
141,5405.0923
142,2579.3772
143,5228.978
144,4021.6182
145,7280.2983
146,5569.842
147,4991.7607
148,4761.11
149,4407.105
150,3943.6958
151,8736.486
152,5699.9604
153,6428.807
154,6359.2085
155,4328.8765
156,4908.6963
157,3489.1414
158,5734.068
159,9269.3545
160,5198.723
161,2640.7114
162,3965.5034
163,6602.634
164,7668.5044
165,3940.3538
166,5976.566
167,3836.4526
168,3154.4385
169,2586.932
170,4047.0828
171,4774.9985
172,5313.0107
173,6058.593
174,4791.4663
175,6464.597
176,7086.1655
177,6164.41
178,2909.2388
179,7707.821
180,9124.82
181,5013.8066
182,6238.0576
183,4100.1
184,5365.718
185,3381.6702
186,4383.031
187,4284.987
188,7322.818
189,5834.598
190,7100.9556
191,6976.51
192,4369.344
193,6874.809
194,15792.579
195,8836.815
196,4734.4897
197,2426.5356
198,5130.352
199,8321.707
200,4098.4375
201,11118.051
202,20653.822
203,2147.035
204,4026.774
205,7791.224
206,4046.232
207,7754.9785
208,5169.3066
209,5637.492
210,3783.1682
211,5020.2695
212,4674.5464
213,5954.776
214,5198.028
215,5129.0215
216,4842.975
217,5500.1606
218,3332.4387
219,4179.8096
220,6319.6255
221,3462.985
222,5283.2
223,5736.7812
224,4679.312
225,4271.5786
226,5737.1973
227,5721.13
228,5878.3877
229,5724.166
230,5748.8335
231,4616.1655
232,3041.6165
233,5043.524
234,5886.4634
235,4198.2144
236,2679.512
237,7701.572
238,5751.1245
239,7727.2334
240,5381.0166
241,4583.3096
242,4257.4517
243,3516.2659
244,8046.069
245,3634.515
246,6487.9463
247,12342.304
248,5962.6045
249,5413.556
250,4018.8958
251,3670.8523
252,5668.1094
253,3449.304
254,5182.553
255,8022.345
256,4491.947
257,13009.856
258,11524.25
259,4093.0603
260,6000.5645
261,4052.0808
262,5309.3613
263,4479.3916
264,8602.246
265,5785.014
266,6813.568
267,3015.6814
268,5521.407
269,3864.5742
270,7016.8564
271,5754.2563
272,4933.288
273,5600.0303
274,5302.347
275,6848.771
276,7574.836
277,4564.5073
278,8482.971
279,5690.4575
280,7662.0933
281,3621.2239
282,3531.148
283,4309.681
284,7874.265
285,5759.155
286,6288.4067
287,5721.597
288,7142.609
289,3676.622
290,6372.037
291,5076.87
292,3193.3147
293,11849.834
294,14368.77
295,4561.867
